(399,249)
(320,304)
(655,183)
(665,309)
(622,216)
(476,216)
(357,213)
(494,186)
(702,305)
(528,317)
(658,311)
(579,244)
(320,304)
(568,246)
(585,298)
(611,349)
(657,304)
(509,277)
(573,243)
(577,243)
(657,304)
(486,182)
(580,369)
(568,246)
(609,353)
(657,304)
(657,304)
(573,243)
(486,182)
(663,182)
(611,216)
(485,126)
(622,216)
(398,244)
(363,212)
(357,219)
(491,126)
(572,260)
(656,187)
(656,184)
(570,248)
(753,307)
(662,424)
(623,249)
(363,213)
(494,186)
(486,120)
(501,135)
(657,304)
(657,305)
(486,182)
(234,303)
(357,213)
(486,189)
(320,304)
(568,246)
(578,329)
(658,311)
(579,248)
(484,187)
(487,182)
(407,248)
(565,248)
(577,243)
(655,308)
(484,184)
(486,182)
(407,248)
(572,243)
(408,247)
(320,304)
(486,242)
(570,248)
(362,221)
(368,218)
(585,243)
(614,395)
(614,395)
(577,243)
(585,243)
(362,221)
(620,214)
(617,401)
(620,400)
(616,218)
(390,241)
(390,241)
(588,240)
(589,237)
(685,169)
(620,400)
(648,195)
(589,376)
(589,376)
(363,399)
(356,400)
(292,169)
(627,209)
(627,209)
(349,404)
(355,213)
(620,212)
(623,208)
(660,429)
(592,381)
(349,401)
(629,207)
(632,411)
(601,232)
(340,207)
(340,207)
(601,232)
(632,411)
(629,207)
(637,416)
(639,202)
(337,202)
(337,202)
(337,417)
(337,417)
(639,417)
(638,412)
(729,133)
(648,418)
(648,418)
(326,424)
(579,244)
(635,335)
(579,248)
(493,183)
(487,182)
(407,248)
(572,243)
(314,304)
(406,243)
(572,244)
(572,243)
(408,247)
(321,304)
(407,248)
(627,244)
(569,244)
(572,243)
(568,246)
(610,346)
(657,304)
(704,430)
(657,304)
(763,309)
(579,244)
(572,243)
(320,304)
(568,246)
(559,189)
(577,243)
(572,244)
(657,304)
(573,364)
(579,367)
(486,182)
(580,368)
(570,257)
(509,277)
(509,277)
(509,277)
(509,277)
(530,335)
(530,334)
(585,257)
(361,117)
(572,243)
(361,117)
(585,239)
(361,117)
(487,182)
(486,182)
(849,308)
(574,257)
(505,194)
(326,320)
(569,259)
(660,318)
(575,258)
(658,322)
(662,359)
(576,379)
(585,260)
(485,197)
(327,320)
(573,257)
(572,257)
(659,318)
(562,370)
(516,381)
(572,257)
(669,323)
(502,429)
(578,261)
(576,257)
(327,318)
(585,257)
(530,366)
(486,440)
(568,260)
(573,258)
(480,198)
(312,318)
(496,320)
(499,196)
(477,440)
(578,258)
(568,259)
(318,323)
(314,186)
(581,260)
(577,378)
(584,260)
(575,379)
(484,197)
(569,261)
(415,252)
(590,241)
(578,257)
(403,260)
(576,358)
(663,319)
(574,258)
(608,261)
(230,303)
(501,226)
(657,304)
(743,303)
(494,125)
(484,121)
(397,245)
(314,309)
(314,181)
(485,187)
(433,211)
(483,277)
(657,304)
(265,142)
(363,213)
(320,183)
(595,186)
(471,506)
(486,191)
(484,121)
(487,121)
(656,308)
(484,121)
(514,156)
(657,304)
(485,188)
(538,348)
(484,121)
(363,212)
(656,427)
(615,395)
(657,309)
(485,122)
(314,181)
(320,304)
(363,212)
(357,218)
(484,121)
(579,367)
(621,213)
(484,121)
(314,181)
(320,304)
(485,188)
(363,217)
(570,244)
(570,368)
(577,243)
(485,187)
(407,248)
(579,367)
(656,308)
(570,248)
(409,245)
(580,246)
(580,245)
(579,244)
(571,364)
(484,183)
(483,307)
(407,248)
(398,247)
(405,248)
(405,248)
(579,243)
(656,308)
(585,380)
(486,182)
(655,308)
(573,243)
(409,248)
(405,248)
(398,247)
(405,248)
(398,247)
(405,248)
(405,248)
(405,248)
(407,247)
(405,248)
(405,248)
(407,248)
(579,262)
